"hgnc" "EntrezGene"
"1" "MMP11" 4320
"2" "NKD1" 85407
"3" "FJX1" 24147
"4" "PMAIP1" 5366
"5" "ECEL1" 9427
"6" "IL8" 3576
"7" "RP11-401P9.4" NA
"8" "MSX2" 4488
"9" "RAB3B" 5865
"10" "CBLN1" 869
"11" "RP11-710M11.1" NA
"12" "TMSB15A" 11013
"13" "MED13L" 23389
"14" "EGR3" 1960
"15" "RP11-106M3.2" NA
"16" "UCN2" 90226
"17" "TIPIN" 54962
"18" "MND1" 84057
"19" "RNASEH2A" 10535
"20" "BCL2L12" 83596
"21" "EGR2" 1959
"22" "FOSL1" 8061
"23" "C19orf48" 84798
"24" "H2AFZ" 3015
"25" "AASS" 10157
"26" "CDH24" 64403
"27" "RIMS4" 140730
"28" "TK1" 7083
"29" "MDK" 4192
"30" "C16orf59" NA
"31" "CCL20" 6364
"32" "NR4A3" 8013
"33" "PCNA" 5111
"34" "RP11-359E10.1" NA
"35" "COL22A1" 169044
"36" "CDT1" 81620
"37" "RND1" 27289
"38" "RP11-963H1.1" NA
"39" "MYL6B" 140465
"40" "RP11-66B24.4" NA
"41" "PODXL2" 50512
"42" "SLC25A5" 292
"43" "DERL3" 91319
"44" "H2AFX" 3014
"45" "CENPH" 64946
"46" "TMEM63A" 9725
"47" "COL9A1" 1297
"48" "CXCL3" 2921
"49" "UHRF1" 29128
"50" "OVGP1" 5016
"51" "AC073218.3" NA
"52" "NRM" 11270
"53" "CDH2" 1000
"54" "POSTN" 10631
"55" "FGF1" 2246
"56" "ARNT" 405
"57" "ENC1" 8507
"58" "KCNK15" 60598
"59" "MMP1" 4312
"60" "NABP2" 79035
"61" "RP11-430C7.5" NA
"62" "RP11-298C3.2" NA
"63" "FAM222A" 84915
"64" "TBCK" 93627
"65" "AC112229.1" NA
"66" "MMP7" 4316
"67" "POC1A" 25886
"68" "GINS2" 51659
"69" "NDC1" 55706
"70" "CTD-3247F14.2" NA
"71" "ARSI" 340075
"72" "IGFN1" 91156
"73" "VASH2" 79805
"74" "WDFY3" 23001
"75" "DPP10" 57628
"76" "UBE2T" 29089
"77" "C11orf82" NA
"78" "IHH" 3549
"79" "RTKN2" 219790
"80" "RP11-182J1.14" NA
"81" "FOLH1" 2346
"82" "GJB3" 2707
"83" "USP47" 55031
"84" "RANBP1" 5902
"85" "KIAA1377" NA
"86" "PBK" 55872
"87" "PAG1" 55824
"88" "GGH" 8836
"89" "ITIH5" 80760
"90" "H2AFY2" 55506
"91" "MZT2A" 653784
"92" "KSR1" 8844
"93" "MYBL2" 4605
"94" "EZH1" 2145
"95" "LAMA1" 284217
"96" "RP1-228H13.5" NA
"97" "PRKXP1" 441733
"98" "IL6" 3569
"99" "MYO5C" 55930
"100" "PTTG1" 9232
"101" "CKS1B" 1163
"102" "RCN2" 5955
"103" "ISOC1" 51015
"104" "ADAMTS14" 140766
"105" "LINGO4" 339398
"106" "C2CD4C" 126567
"107" "PFKFB4" 5210
"108" "RORC" 6097
"109" "AGO4" 192670
"110" "CD320" 51293
"111" "RP11-259N19.1" NA
"112" "ZNF367" 195828
"113" "LPIN3" 64900
"114" "LAMP5" 24141
"115" "GABPB2" 126626
"116" "RP11-815J21.4" NA
"117" "EXO1" 9156
"118" "RFC4" 5984
"119" "PAFAH1B3" 5050
"120" "AUNIP" 79000
"121" "YEATS4" 8089
"122" "UXS1" 80146
"123" "SLCO4C1" 353189
"124" "C4orf27" NA
"125" "RP11-542K23.9" NA
"126" "HELZ" 9931
"127" "NREP" 9315
"128" "TMEM206" 55248
"129" "CCNB1" 891
"130" "FILIP1" 27145
"131" "MTUS2" 23281
"132" "TNFAIP3" 7128
"133" "FBN2" 2201
"134" "MAD2L1" 4085
"135" "RFC2" 5982
"136" "CTD-2008P7.9" 101926984
"137" "TMEM132A" 54972
"138" "LIPI" 149998
"139" "DSCC1" 79075
"140" "RP11-548O1.3" NA
"141" "CPM" 1368
"142" "FAM64A" NA
"143" "KANSL1L" 151050
"144" "GINS1" 9837
"145" "RP11-54F2.1" NA
"146" "E2F1" 1869
"147" "WISP1" 8840
"148" "STAP2" 55620
"149" "MTND1P23" 100887749
"150" "CDC45" 8318
"151" "KCNN1" 3780
"152" "CNTN1" 1272
"153" "RAB34" 83871
"154" "HAUS1" 115106
"155" "ANO7" 50636
"156" "AC079780.3" NA
"157" "NTM" 50863
"158" "RP11-439E19.10" NA
"159" "TOR3A" 64222
"160" "TMEM215" 401498
"161" "LMNB1" 4001
"162" "UBR2" 23304
"163" "RP11-421F16.3" NA
"164" "TNF" 7124
"165" "RIMS2" 9699
"166" "RIMBP2" 23504
"167" "BFSP1" 631
"168" "FDXR" 2232
"169" "EVA1B" 55194
"170" "MYO9A" 4649
"171" "PRKAA1" 5562
"172" "NAT8L" 339983
"173" "CNIH2" 254263
"174" "CDC20" 991
"175" "RASSF6" 166824
"176" "AC013268.3" NA
"177" "GRAMD1C" 54762
"178" "SFRP4" 6424
"179" "C20orf194" 25943
"180" "MTFR2" 113115
"181" "SLC23A3" 151295
"182" "ENTPD5" 957
"183" "LRRC20" 55222
"184" "KLK2" 3817
"185" "E2F7" 144455
"186" "UROS" 7390
"187" "CCNB2" 9133
"188" "CHAF1B" 8208
"189" "ZNF841" 284371
"190" "SKA3" 221150
"191" "FOXL2" 668
"192" "BIRC5" 332
"193" "C9orf16" 79095
"194" "CXCL2" 2920
"195" "PTGR1" 22949
"196" "XRCC2" 7516
"197" "PLXNA3" 55558
"198" "MARCKS" 4082
"199" "SPC24" 147841
"200" "CDC25C" 995
"201" "TOB1" 10140
"202" "DEPDC1" 55635
"203" "SNRPEP4" 100130109
"204" "LFNG" 3955
"205" "HES6" 55502
"206" "KIAA0101" NA
"207" "TUBB2B" 347733
"208" "SNRPEP2" 414153
"209" "CA11" 770
"210" "THY1" 7070
"211" "LSM2" 57819
"212" "PCSK5" 5125
"213" "MEST" 4232
"214" "CDCA5" 113130
"215" "DSTNP1" 387492
"216" "CENPU" 79682
"217" "DGAT2" 84649
"218" "DTYMK" 1841
"219" "POLA2" 23649
"220" "CRABP2" 1382
"221" "ABO" 28
"222" "hsa-mir-6723" NA
"223" "KLF10" 7071
"224" "KHK" 3795
"225" "TACC3" 10460
"226" "ADRA2B" 151
"227" "TTK" 7272
"228" "SACM1L" 22908
"229" "ASF1B" 55723
"230" "AC093690.1" NA
"231" "WRAP53" 55135
"232" "TRIM28" 10155
"233" "TRAIP" 10293
"234" "ASGR1" 432
"235" "COL26A1" 136227
"236" "ZNF471" 57573
"237" "REEP2" 51308
"238" "NAT14" 57106
"239" "NFKBIE" 4794
"240" "UBE2Q2P1" 388165
"241" "KMO" 8564
"242" "PRRG3" 79057
"243" "ZNF469" 84627
"244" "WNT5A" 7474
"245" "USP24" 23358
"246" "ZEB1" 6935
"247" "TENM3" 55714
"248" "HMGA1" 3159
"249" "SLC29A4" 222962
"250" "PPIL1" 51645
"251" "MGMT" 4255
"252" "CSPG4P11" 100631254
"253" "SAC3D1" 29901
"254" "PGRMC1" 10857
"255" "KIF2C" 11004
"256" "UBE2S" 27338
"257" "APLP1" 333
"258" "PKMYT1" 9088
"259" "ORAOV1P1" 100873907
"260" "ZNF888" 388559
"261" "RP11-526I2.5" NA
"262" "TCEAL5" 340543
"263" "TMUB2" 79089
"264" "PLGRKT" 55848
"265" "RRM1" 6240
"266" "RORA" 6095
"267" "FBN3" 84467
"268" "THOC6" 79228
"269" "NEK2" 4751
"270" "HIPK3" 10114
"271" "RAD51" 5888
"272" "HEBP1" 50865
"273" "TCEAL7" 56849
"274" "ZBED6CL" 113763
"275" "MCM2" 4171
"276" "SHANK1" 50944
"277" "GJA4" 2701
"278" "DYNC1I1" 1780
"279" "NRGN" 4900
"280" "SLIT3" 6586
"281" "CCNA1" 8900
"282" "SECISBP2L" 9728
"283" "AQP9" 366
"284" "NUP93" 9688
"285" "RIMKLBP1" 54031
"286" "HIST1H2BH" 8345
"287" "PDCD6IP" 10015
"288" "SDSL" 113675
"289" "E2F2" 1870
"290" "CEP78" 84131
"291" "ST6GALNAC3" 256435
"292" "KCNMB4" 27345
"293" "TACSTD2" 4070
"294" "LSM5" 23658
"295" "TRANK1" 9881
"296" "CKAP4" 10970
